No.,Gen,Name,Type1,Type2,Ability1,Ability2,Hidden Ability,HP,Att,Def,S.Att,S.Def,Spd,total,moveset
#480,,Uxie,psychic,,Levitate,,,75,75,130,75,130,95,580,"[['1', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['1', 'Flail', 'NORMAL', 'physical', '-', '100'], ['1', 'Memento', 'DARK', 'status', '-', '100'], ['1', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['1', 'Rest', 'PSYCHIC', 'status', '-', '-'], ['6', 'Imprison', 'PSYCHIC', 'status', '-', '-'], ['16', 'Endure', 'NORMAL', 'status', '-', '-'], ['21', 'Swift', 'NORMAL', 'special', '60', '?'], ['31', 'Yawn', 'NORMAL', 'status', '-', '-'], ['36', 'Future Sight', 'PSYCHIC', 'special', '120', '100'], ['46', 'Amnesia', 'PSYCHIC', 'status', '-', '-'], ['50', 'Extrasensory', 'PSYCHIC', 'special', '80', '100'], ['61', 'Flail', 'NORMAL', 'physical', '-', '100'], ['66', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['76', 'Memento', 'DARK', 'status', '-', '100']]"
#481,,Mesprit,psychic,,Levitate,,,80,105,105,105,105,80,580,"[['1', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['1', 'Copycat', 'NORMAL', 'status', '-', '-'], ['1', 'Healing Wish', 'PSYCHIC', 'status', '-', '-'], ['1', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['1', 'Rest', 'PSYCHIC', 'status', '-', '-'], ['6', 'Imprison', 'PSYCHIC', 'status', '-', '-'], ['16', 'Protect', 'NORMAL', 'status', '-', '-'], ['21', 'Swift', 'NORMAL', 'special', '60', '?'], ['31', 'Lucky Chant', 'NORMAL', 'status', '-', '-'], ['36', 'Future Sight', 'PSYCHIC', 'special', '120', '100'], ['46', 'Charm', 'FAIRY', 'status', '-', '100'], ['50', 'Extrasensory', 'PSYCHIC', 'special', '80', '100'], ['61', 'Copycat', 'NORMAL', 'status', '-', '-'], ['66', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['76', 'Healing Wish', 'PSYCHIC', 'status', '-', '-']]"
#482,,Azelf,psychic,,Levitate,,,75,125,70,125,70,115,580,"[['1', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['1', 'Last Resort', 'NORMAL', 'physical', '140', '100'], ['1', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['1', 'Rest', 'PSYCHIC', 'status', '-', '-'], ['6', 'Imprison', 'PSYCHIC', 'status', '-', '-'], ['16', 'Detect', 'FIGHTING', 'status', '-', '-'], ['21', 'Swift', 'NORMAL', 'special', '60', '?'], ['31', 'Uproar', 'NORMAL', 'special', '90', '100'], ['36', 'Future Sight', 'PSYCHIC', 'special', '120', '100'], ['46', 'Nasty Plot', 'DARK', 'status', '-', '-'], ['50', 'Extrasensory', 'PSYCHIC', 'special', '80', '100'], ['61', 'Last Resort', 'NORMAL', 'physical', '140', '100'], ['66', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['76', 'Explosion', 'NORMAL', 'physical', '250', '100']]"
#483,,Dialga,steel,dragon,Pressure,,Telepathy,100,120,120,150,100,90,680,"[['1', 'Dragon Breath', 'DRAGON', 'special', '60', '100'], ['1', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['6', 'Metal Claw', 'STEEL', 'physical', '50', '95'], ['10', 'Ancient Power', 'ROCK', 'special', '60', '100'], ['15', 'Slash', 'NORMAL', 'physical', '70', '100'], ['19', 'Power Gem', 'ROCK', 'special', '80', '100'], ['24', 'Metal Burst', 'STEEL', 'physical', '-', '100'], ['28', 'Dragon Claw', 'DRAGON', 'physical', '80', '100'], ['33', 'Earth Power', 'GROUND', 'special', '90', '100'], ['37', 'Aura Sphere', 'FIGHTING', 'special', '80', '?'], ['42', 'Iron Tail', 'STEEL', 'physical', '100', '75'], ['46', 'Roar of Time', 'DRAGON', 'special', '150', '90'], ['50', 'Flash Cannon', 'STEEL', 'special', '80', '100']]"
#484,,Palkia,water,dragon,Pressure,,Telepathy,90,120,100,150,120,100,680,"[['1', 'Dragon Breath', 'DRAGON', 'special', '60', '100'], ['1', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['6', 'Water Pulse', 'WATER', 'special', '60', '100'], ['10', 'Ancient Power', 'ROCK', 'special', '60', '100'], ['15', 'Slash', 'NORMAL', 'physical', '70', '100'], ['19', 'Power Gem', 'ROCK', 'special', '80', '100'], ['24', 'Aqua Tail', 'WATER', 'physical', '90', '90'], ['28', 'Dragon Claw', 'DRAGON', 'physical', '80', '100'], ['33', 'Earth Power', 'GROUND', 'special', '90', '100'], ['37', 'Aura Sphere', 'FIGHTING', 'special', '80', '?'], ['42', 'Aqua Tail', 'WATER', 'physical', '90', '90'], ['46', 'Spacial Rend', 'DRAGON', 'special', '100', '95'], ['50', 'Hydro Pump', 'WATER', 'special', '110', '80']]"
#485,,Heatran,fire,steel,Flash Fire,,Flame Body,91,90,106,130,106,77,600,"[['1', 'Ancient Power', 'ROCK', 'special', '60', '100'], ['1', 'Earth Power', 'GROUND', 'special', '90', '100'], ['1', 'Fire Spin', 'FIRE', 'special', '35', '85'], ['1', 'Heat Wave', 'FIRE', 'special', '95', '90'], ['1', 'Iron Head', 'STEEL', 'physical', '80', '100'], ['1', 'Magma Storm', 'FIRE', 'special', '100', '75'], ['9', 'Leer', 'NORMAL', 'status', '-', '100'], ['17', 'Fire Fang', 'FIRE', 'physical', '65', '95'], ['25', 'Metal Sound', 'STEEL', 'status', '-', '85'], ['33', 'Crunch', 'DARK', 'physical', '80', '100'], ['41', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['49', 'Lava Plume', 'FIRE', 'special', '80', '100'], ['57', 'Fire Spin', 'FIRE', 'special', '35', '85'], ['65', 'Iron Head', 'STEEL', 'physical', '80', '100'], ['73', 'Earth Power', 'GROUND', 'special', '90', '100'], ['81', 'Heat Wave', 'FIRE', 'special', '95', '90'], ['88', 'Stone Edge', 'ROCK', 'physical', '100', '80'], ['96', 'Magma Storm', 'FIRE', 'special', '100', '75']]"
#486,,Regigigas,normal,,Slow Start,,,110,160,110,80,110,100,670,"[['1', 'Confuse Ray', 'GHOST', 'status', '-', '100'], ['1', 'Crush Grip', 'NORMAL', 'physical', '-', '100'], ['1', 'Dizzy Punch', 'NORMAL', 'physical', '70', '100'], ['1', 'Fire Punch', 'FIRE', 'physical', '75', '100'], ['1', 'Foresight', 'NORMAL', 'status', '-', '-'], ['1', 'Heavy Slam', 'STEEL', 'physical', '-', '100'], ['1', 'Ice Punch', 'ICE', 'physical', '75', '100'], ['1', 'Knock Off', 'DARK', 'physical', '65', '100'], ['1', 'Thunder Punch', 'ELECTRIC', 'physical', '75', '100'], ['25', 'Revenge', 'FIGHTING', 'physical', '60', '100'], ['40', 'Wide Guard', 'ROCK', 'status', '-', '-'], ['50', 'Zen Headbutt', 'PSYCHIC', 'physical', '80', '90'], ['65', 'Payback', 'DARK', 'physical', '50', '100'], ['75', 'Crush Grip', 'NORMAL', 'physical', '-', '100'], ['90', 'Heavy Slam', 'STEEL', 'physical', '-', '100'], ['100', 'Giga Impact', 'NORMAL', 'physical', '150', '90']]"
#487,,Giratina,ghost,dragon,Pressure,,Telepathy,150,100,120,100,120,90,680,"[['1', 'Dragon Breath', 'DRAGON', 'special', '60', '100'], ['1', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['6', 'Ominous Wind', 'GHOST', 'special', '60', '100'], ['10', 'Ancient Power', 'ROCK', 'special', '60', '100'], ['15', 'Slash', 'NORMAL', 'physical', '70', '100'], ['19', 'Shadow Sneak', 'GHOST', 'physical', '40', '100'], ['24', 'Destiny Bond', 'GHOST', 'status', '-', '-'], ['28', 'Dragon Claw', 'DRAGON', 'physical', '80', '100'], ['33', 'Earth Power', 'GROUND', 'special', '90', '100'], ['37', 'Aura Sphere', 'FIGHTING', 'special', '80', '?'], ['42', 'Shadow Claw', 'GHOST', 'physical', '70', '100'], ['46', 'Shadow Force', 'GHOST', 'physical', '120', '100'], ['50', 'Hex', 'GHOST', 'special', '65', '100']]"
#488,,Cresselia,psychic,,Levitate,,,120,70,120,75,130,85,600,"[['1', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['1', 'Double Team', 'NORMAL', 'status', '-', '-'], ['1', 'Lunar Dance', 'PSYCHIC', 'status', '-', '-'], ['1', 'Moonlight', 'FAIRY', 'status', '-', '-'], ['1', 'Psycho Cut', 'PSYCHIC', 'physical', '70', '100'], ['1', 'Psycho Shift', 'PSYCHIC', 'status', '-', '100'], ['11', 'Safeguard', 'NORMAL', 'status', '-', '-'], ['20', 'Mist', 'ICE', 'status', '-', '-'], ['29', 'Aurora Beam', 'ICE', 'special', '65', '100'], ['38', 'Future Sight', 'PSYCHIC', 'special', '120', '100'], ['47', 'Slash', 'NORMAL', 'physical', '70', '100'], ['57', 'Moonlight', 'FAIRY', 'status', '-', '-'], ['66', 'Psycho Cut', 'PSYCHIC', 'physical', '70', '100'], ['75', 'Psycho Shift', 'PSYCHIC', 'status', '-', '100'], ['84', 'Lunar Dance', 'PSYCHIC', 'status', '-', '-'], ['93', 'Psychic', 'PSYCHIC', 'special', '90', '100'], ['99', 'Moonblast', 'FAIRY', 'special', '95', '100']]"
#489,,Phione,water,,Hydration,,,80,80,80,80,80,80,480,"[['1', 'Bubble', 'WATER', 'special', '40', '100'], ['1', 'Water Sport', 'WATER', 'status', '-', '-'], ['9', 'Charm', 'FAIRY', 'status', '-', '100'], ['16', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['24', 'Bubble Beam', 'WATER', 'special', '65', '100'], ['31', 'Acid Armor', 'POISON', 'status', '-', '-'], ['39', 'Whirlpool', 'WATER', 'special', '35', '85'], ['46', 'Water Pulse', 'WATER', 'special', '60', '100'], ['54', 'Aqua Ring', 'WATER', 'status', '-', '-'], ['61', 'Dive', 'WATER', 'physical', '80', '100'], ['69', 'Rain Dance', 'WATER', 'status', '-', '-']]"
#490,,Manaphy,water,,Hydration,,,100,100,100,100,100,100,600,"[['1', 'Bubble', 'WATER', 'special', '40', '100'], ['1', 'Tail Glow', 'BUG', 'status', '-', '-'], ['1', 'Water Sport', 'WATER', 'status', '-', '-'], ['9', 'Charm', 'FAIRY', 'status', '-', '100'], ['16', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['24', 'Bubble Beam', 'WATER', 'special', '65', '100'], ['31', 'Acid Armor', 'POISON', 'status', '-', '-'], ['39', 'Whirlpool', 'WATER', 'special', '35', '85'], ['46', 'Water Pulse', 'WATER', 'special', '60', '100'], ['54', 'Aqua Ring', 'WATER', 'status', '-', '-'], ['61', 'Dive', 'WATER', 'physical', '80', '100'], ['69', 'Rain Dance', 'WATER', 'status', '-', '-'], ['76', 'Heart Swap', 'PSYCHIC', 'status', '-', '-']]"
#491,,Darkrai,dark,,Bad Dreams,,,70,90,90,135,90,125,600,"[['1', 'Disable', 'NORMAL', 'status', '-', '100'], ['1', 'Ominous Wind', 'GHOST', 'special', '60', '100'], ['11', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['20', 'Hypnosis', 'PSYCHIC', 'status', '-', '60'], ['29', 'Feint Attack', 'DARK', 'physical', '60', '?'], ['38', 'Nightmare', 'GHOST', 'status', '-', '100'], ['47', 'Double Team', 'NORMAL', 'status', '-', '-'], ['57', 'Haze', 'ICE', 'status', '-', '-'], ['66', 'Dark Void', 'DARK', 'status', '-', '50'], ['75', 'Nasty Plot', 'DARK', 'status', '-', '-'], ['84', 'Dream Eater', 'PSYCHIC', 'special', '100', '100'], ['93', 'Dark Pulse', 'DARK', 'special', '80', '100']]"
#492,,Shaymin,grass,,Natural Cure,,,100,100,100,100,100,100,600,"[['1', 'Growth', 'NORMAL', 'status', '-', '-'], ['10', 'Magical Leaf', 'GRASS', 'special', '60', '?'], ['19', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['28', 'Synthesis', 'GRASS', 'status', '-', '-'], ['37', 'Sweet Scent', 'NORMAL', 'status', '-', '100'], ['46', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['55', 'Worry Seed', 'GRASS', 'status', '-', '100'], ['64', 'Aromatherapy', 'GRASS', 'status', '-', '-'], ['73', 'Energy Ball', 'GRASS', 'special', '90', '100'], ['82', 'Sweet Kiss', 'FAIRY', 'status', '-', '75'], ['91', 'Healing Wish', 'PSYCHIC', 'status', '-', '-'], ['100', 'Seed Flare', 'GRASS', 'special', '120', '85']]"
#493,,Arceus,normal,,Multitype,,,120,120,120,120,120,120,720,"[['1', 'Cosmic Power', 'PSYCHIC', 'status', '-', '-'], ['1', 'Natural Gift', 'NORMAL', 'physical', '-', '100'], ['1', 'Punishment', 'DARK', 'physical', '-', '100'], ['1', 'Seismic Toss', 'FIGHTING', 'physical', '-', '100'], ['10', 'Gravity', 'PSYCHIC', 'status', '-', '-'], ['20', 'Earth Power', 'GROUND', 'special', '90', '100'], ['30', 'Hyper Voice', 'NORMAL', 'special', '90', '100'], ['40', 'Extreme Speed', 'NORMAL', 'physical', '80', '100'], ['50', 'Refresh', 'NORMAL', 'status', '-', '-'], ['60', 'Future Sight', 'PSYCHIC', 'special', '120', '100'], ['70', 'Recover', 'NORMAL', 'status', '-', '-'], ['80', 'Hyper Beam', 'NORMAL', 'special', '150', '90'], ['90', 'Perish Song', 'NORMAL', 'status', '-', '-'], ['100', 'Judgment', 'NORMAL', 'special', '100', '100']]"
#494,,Victini,psychic,fire,Victory Star,,,100,100,100,100,100,100,600,"[['1', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['1', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['1', 'Incinerate', 'FIRE', 'special', '60', '100'], ['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['1', 'Searing Shot', 'FIRE', 'special', '100', '100'], ['9', 'Endure', 'NORMAL', 'status', '-', '-'], ['17', 'Headbutt', 'NORMAL', 'physical', '70', '100'], ['25', 'Flame Charge', 'FIRE', 'physical', '50', '100'], ['33', 'Reversal', 'FIGHTING', 'physical', '-', '100'], ['41', 'Flame Burst', 'FIRE', 'special', '70', '100'], ['49', 'Zen Headbutt', 'PSYCHIC', 'physical', '80', '90'], ['57', 'Inferno', 'FIRE', 'special', '100', '50'], ['65', 'Double-Edge', 'NORMAL', 'physical', '120', '100'], ['73', 'Flare Blitz', 'FIRE', 'physical', '120', '100'], ['81', 'Final Gambit', 'FIGHTING', 'special', '-', '100'], ['89', 'Stored Power', 'PSYCHIC', 'special', '20', '100'], ['97', 'Overheat', 'FIRE', 'special', '130', '90']]"
#495,,Snivy,grass,,Overgrow,,Contrary,45,45,55,45,55,63,308,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['4', 'Leer', 'NORMAL', 'status', '-', '100'], ['7', 'Vine Whip', 'GRASS', 'physical', '45', '100'], ['10', 'Wrap', 'NORMAL', 'physical', '15', '90'], ['13', 'Growth', 'NORMAL', 'status', '-', '-'], ['16', 'Leaf Tornado', 'GRASS', 'special', '65', '90'], ['19', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['22', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['25', 'Slam', 'NORMAL', 'physical', '80', '75'], ['28', 'Leaf Blade', 'GRASS', 'physical', '90', '100'], ['31', 'Coil', 'POISON', 'status', '-', '-'], ['34', 'Giga Drain', 'GRASS', 'special', '75', '100'], ['37', 'Wring Out', 'NORMAL', 'special', '-', '100'], ['40', 'Gastro Acid', 'POISON', 'status', '-', '100'], ['43', 'Leaf Storm', 'GRASS', 'special', '130', '90']]"
#496,,Servine,grass,,Overgrow,,Contrary,60,60,75,60,75,83,413,"[['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Vine Whip', 'GRASS', 'physical', '45', '100'], ['1', 'Wrap', 'NORMAL', 'physical', '15', '90'], ['4', 'Leer', 'NORMAL', 'status', '-', '100'], ['7', 'Vine Whip', 'GRASS', 'physical', '45', '100'], ['10', 'Wrap', 'NORMAL', 'physical', '15', '90'], ['13', 'Growth', 'NORMAL', 'status', '-', '-'], ['16', 'Leaf Tornado', 'GRASS', 'special', '65', '90'], ['20', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['24', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['28', 'Slam', 'NORMAL', 'physical', '80', '75'], ['32', 'Leaf Blade', 'GRASS', 'physical', '90', '100'], ['36', 'Coil', 'POISON', 'status', '-', '-'], ['40', 'Giga Drain', 'GRASS', 'special', '75', '100'], ['44', 'Wring Out', 'NORMAL', 'special', '-', '100'], ['48', 'Gastro Acid', 'POISON', 'status', '-', '100'], ['52', 'Leaf Storm', 'GRASS', 'special', '130', '90']]"
#497,,Serperior,grass,,Overgrow,,Contrary,75,75,95,75,95,113,528,"[['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Vine Whip', 'GRASS', 'physical', '45', '100'], ['1', 'Wrap', 'NORMAL', 'physical', '15', '90'], ['4', 'Leer', 'NORMAL', 'status', '-', '100'], ['7', 'Vine Whip', 'GRASS', 'physical', '45', '100'], ['10', 'Wrap', 'NORMAL', 'physical', '15', '90'], ['13', 'Growth', 'NORMAL', 'status', '-', '-'], ['16', 'Leaf Tornado', 'GRASS', 'special', '65', '90'], ['20', 'Leech Seed', 'GRASS', 'status', '-', '90'], ['24', 'Mega Drain', 'GRASS', 'special', '40', '100'], ['28', 'Slam', 'NORMAL', 'physical', '80', '75'], ['32', 'Leaf Blade', 'GRASS', 'physical', '90', '100'], ['38', 'Coil', 'POISON', 'status', '-', '-'], ['44', 'Giga Drain', 'GRASS', 'special', '75', '100'], ['50', 'Wring Out', 'NORMAL', 'special', '-', '100'], ['56', 'Gastro Acid', 'POISON', 'status', '-', '100'], ['62', 'Leaf Storm', 'GRASS', 'special', '130', '90']]"
#498,,Tepig,fire,,Blaze,,Thick Fat,65,63,45,45,45,45,308,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['3', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Ember', 'FIRE', 'special', '40', '100'], ['9', 'Odor Sleuth', 'NORMAL', 'status', '-', '-'], ['13', 'Defense Curl', 'NORMAL', 'status', '-', '-'], ['15', 'Flame Charge', 'FIRE', 'physical', '50', '100'], ['19', 'Smog', 'POISON', 'special', '30', '70'], ['21', 'Rollout', 'ROCK', 'physical', '30', '90'], ['25', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['27', 'Heat Crash', 'FIRE', 'physical', '-', '100'], ['31', 'Assurance', 'DARK', 'physical', '60', '100'], ['33', 'Flamethrower', 'FIRE', 'special', '90', '100'], ['37', 'Head Smash', 'ROCK', 'physical', '150', '80'], ['39', 'Roar', 'NORMAL', 'status', '-', '-'], ['43', 'Flare Blitz', 'FIRE', 'physical', '120', '100']]"
#499,,Pignite,fire,fighting,Blaze,,Thick Fat,90,93,55,70,55,55,418,"[['1', 'Arm Thrust', 'FIGHTING', 'physical', '15', '100'], ['1', 'Ember', 'FIRE', 'special', '40', '100'], ['1', 'Odor Sleuth', 'NORMAL', 'status', '-', '-'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['3', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Ember', 'FIRE', 'special', '40', '100'], ['9', 'Odor Sleuth', 'NORMAL', 'status', '-', '-'], ['13', 'Defense Curl', 'NORMAL', 'status', '-', '-'], ['15', 'Flame Charge', 'FIRE', 'physical', '50', '100'], ['20', 'Smog', 'POISON', 'special', '30', '70'], ['23', 'Rollout', 'ROCK', 'physical', '30', '90'], ['28', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['31', 'Heat Crash', 'FIRE', 'physical', '-', '100'], ['36', 'Assurance', 'DARK', 'physical', '60', '100'], ['39', 'Flamethrower', 'FIRE', 'special', '90', '100'], ['44', 'Head Smash', 'ROCK', 'physical', '150', '80'], ['47', 'Roar', 'NORMAL', 'status', '-', '-'], ['52', 'Flare Blitz', 'FIRE', 'physical', '120', '100']]"
#500,,Emboar,fire,fighting,Blaze,,Reckless,110,123,65,100,65,65,528,"[['1', 'Arm Thrust', 'FIGHTING', 'physical', '15', '100'], ['1', 'Ember', 'FIRE', 'special', '40', '100'], ['1', 'Hammer Arm', 'FIGHTING', 'physical', '100', '90'], ['1', 'Odor Sleuth', 'NORMAL', 'status', '-', '-'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['3', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Ember', 'FIRE', 'special', '40', '100'], ['9', 'Odor Sleuth', 'NORMAL', 'status', '-', '-'], ['13', 'Defense Curl', 'NORMAL', 'status', '-', '-'], ['15', 'Flame Charge', 'FIRE', 'physical', '50', '100'], ['20', 'Smog', 'POISON', 'special', '30', '70'], ['23', 'Rollout', 'ROCK', 'physical', '30', '90'], ['28', 'Take Down', 'NORMAL', 'physical', '90', '85'], ['31', 'Heat Crash', 'FIRE', 'physical', '-', '100'], ['38', 'Assurance', 'DARK', 'physical', '60', '100'], ['43', 'Flamethrower', 'FIRE', 'special', '90', '100'], ['50', 'Head Smash', 'ROCK', 'physical', '150', '80'], ['55', 'Roar', 'NORMAL', 'status', '-', '-'], ['62', 'Flare Blitz', 'FIRE', 'physical', '120', '100']]"
#501,,Oshawott,water,,Torrent,,Shell Armor,55,55,45,63,45,45,308,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['5', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Water Gun', 'WATER', 'special', '40', '100'], ['11', 'Water Sport', 'WATER', 'status', '-', '-'], ['13', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['17', 'Razor Shell', 'WATER', 'physical', '75', '95'], ['19', 'Fury Cutter', 'BUG', 'physical', '40', '95'], ['23', 'Water Pulse', 'WATER', 'special', '60', '100'], ['25', 'Revenge', 'FIGHTING', 'physical', '60', '100'], ['29', 'Aqua Jet', 'WATER', 'physical', '40', '100'], ['31', 'Encore', 'NORMAL', 'status', '-', '100'], ['35', 'Aqua Tail', 'WATER', 'physical', '90', '90'], ['37', 'Retaliate', 'NORMAL', 'physical', '70', '100'], ['41', 'Swords Dance', 'NORMAL', 'status', '-', '-'], ['43', 'Hydro Pump', 'WATER', 'special', '110', '80']]"
#502,,Dewott,water,,Torrent,,Shell Armor,75,75,60,83,60,60,413,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['1', 'Water Sport', 'WATER', 'status', '-', '-'], ['5', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Water Gun', 'WATER', 'special', '40', '100'], ['11', 'Water Sport', 'WATER', 'status', '-', '-'], ['13', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['18', 'Razor Shell', 'WATER', 'physical', '75', '95'], ['21', 'Fury Cutter', 'BUG', 'physical', '40', '95'], ['26', 'Water Pulse', 'WATER', 'special', '60', '100'], ['29', 'Revenge', 'FIGHTING', 'physical', '60', '100'], ['34', 'Aqua Jet', 'WATER', 'physical', '40', '100'], ['37', 'Encore', 'NORMAL', 'status', '-', '100'], ['42', 'Aqua Tail', 'WATER', 'physical', '90', '90'], ['45', 'Retaliate', 'NORMAL', 'physical', '70', '100'], ['50', 'Swords Dance', 'NORMAL', 'status', '-', '-'], ['53', 'Hydro Pump', 'WATER', 'special', '110', '80']]"
#503,,Samurott,water,,Torrent,,Shell Armor,95,100,85,108,70,70,528,"[['1', 'Megahorn', 'BUG', 'physical', '120', '85'], ['1', 'Slash', 'NORMAL', 'physical', '70', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['1', 'Water Gun', 'WATER', 'special', '40', '100'], ['1', 'Water Sport', 'WATER', 'status', '-', '-'], ['5', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['7', 'Water Gun', 'WATER', 'special', '40', '100'], ['11', 'Water Sport', 'WATER', 'status', '-', '-'], ['13', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['18', 'Razor Shell', 'WATER', 'physical', '75', '95'], ['21', 'Fury Cutter', 'BUG', 'physical', '40', '95'], ['25', 'Water Pulse', 'WATER', 'special', '60', '100'], ['29', 'Revenge', 'FIGHTING', 'physical', '60', '100'], ['34', 'Aqua Jet', 'WATER', 'physical', '40', '100'], ['39', 'Encore', 'NORMAL', 'status', '-', '100'], ['46', 'Aqua Tail', 'WATER', 'physical', '90', '90'], ['51', 'Retaliate', 'NORMAL', 'physical', '70', '100'], ['58', 'Swords Dance', 'NORMAL', 'status', '-', '-'], ['63', 'Hydro Pump', 'WATER', 'special', '110', '80']]"
#504,,Patrat,normal,,Run Away,Keen Eye,Analytic,45,55,39,35,39,42,255,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['3', 'Leer', 'NORMAL', 'status', '-', '100'], ['6', 'Bite', 'DARK', 'physical', '60', '100'], ['8', 'Bide', 'NORMAL', 'physical', '-', '-'], ['11', 'Detect', 'FIGHTING', 'status', '-', '-'], ['13', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['16', 'Crunch', 'DARK', 'physical', '80', '100'], ['18', 'Hypnosis', 'PSYCHIC', 'status', '-', '60'], ['21', 'Super Fang', 'NORMAL', 'physical', '-', '90'], ['23', 'After You', 'NORMAL', 'status', '-', '-'], ['26', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['28', 'Work Up', 'NORMAL', 'status', '-', '-'], ['31', 'Hyper Fang', 'NORMAL', 'physical', '80', '90'], ['33', 'Nasty Plot', 'DARK', 'status', '-', '-'], ['36', 'Mean Look', 'NORMAL', 'status', '-', '-'], ['38', 'Baton Pass', 'NORMAL', 'status', '-', '-'], ['41', 'Slam', 'NORMAL', 'physical', '80', '75']]"
#505,,Watchog,normal,,Illuminate,Keen Eye,Analytic,60,85,69,60,69,77,420,"[['1', 'Bite', 'DARK', 'physical', '60', '100'], ['1', 'Confuse Ray', 'GHOST', 'status', '-', '100'], ['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Low Kick', 'FIGHTING', 'physical', '-', '100'], ['1', 'Rototiller', 'GROUND', 'status', '-', '-'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['3', 'Leer', 'NORMAL', 'status', '-', '100'], ['6', 'Bite', 'DARK', 'physical', '60', '100'], ['8', 'Bide', 'NORMAL', 'physical', '-', '-'], ['11', 'Detect', 'FIGHTING', 'status', '-', '-'], ['13', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['16', 'Crunch', 'DARK', 'physical', '80', '100'], ['18', 'Hypnosis', 'PSYCHIC', 'status', '-', '60'], ['22', 'Super Fang', 'NORMAL', 'physical', '-', '90'], ['25', 'After You', 'NORMAL', 'status', '-', '-'], ['29', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['32', 'Psych Up', 'NORMAL', 'status', '-', '-'], ['36', 'Hyper Fang', 'NORMAL', 'physical', '80', '90'], ['39', 'Nasty Plot', 'DARK', 'status', '-', '-'], ['43', 'Mean Look', 'NORMAL', 'status', '-', '-'], ['46', 'Baton Pass', 'NORMAL', 'status', '-', '-'], ['50', 'Slam', 'NORMAL', 'physical', '80', '75']]"
